V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
1,10066,3,1,4,5000,B002,1,1,S133,2,150,10000,3,15.5,349,61,0
0,10001,1,1,4,11000,B002,1,0,S133,2,808,40000,4,19.18,1103,57,0
0,10001,1,2,4,9000,B002,1,0,S133,2,3600,40000,4,19.18,1103,54,1
1,10007,1,1,1,2500,B003,0,1,S143,3,0,36000,5,32.5,1221,43,0
1,10007,1,3,4,3600,B001,1,1,S133,3,0,11000,5,18,279,62,0
0,10005,1,1,4,4500,B001,1,0,S133,2,2300,40000,4,19.18,1103,51,0
1,10002,1,2,4,3300,B004,1,1,S122,2,0,50000,5,19,1297,37,0
1,10005,1,2,4,1832.8,B010,0,1,S159,2,472.2,23000,5,20,609,70,0
1,10003,1,1,4,2200,B007,0,1,S133,3,0,32000,5,19.18,1103,32,0
1,10002,1,3,4,3820,B004,1,1,S133,2,0,30000,4,19.18,1103,58,0
0,10004,1,3,4,6,B001,1,0,S133,6,0,40000,4,19.18,1103,32,0
1,10025,1,3,4,3000,B004,1,1,S133,5,0,10000,3,19.18,1103,47,0
0,10170,3,1,4,2554.1,B004,1,0,S159,2,1600,40000,4,19.18,1103,40,0
0,10003,1,2,4,1000,B001,1,0,S133,2,0,40000,4,19.18,1103,43,0
0,10004,1,1,4,3300,B002,1,0,S133,2,0,40000,4,19.18,1103,55,0
0,10003,1,2,4,1000,B001,1,0,S133,2,0,40000,4,19.18,1103,41,0
1,10004,1,2,2,9000,B004,1,1,S133,3,0,120000,5,19.18,1103,57,0
1,10006,1,1,4,1932.1,B001,1,1,S133,2,371.6,20000,3,20,743,61,0
0,10013,2,1,4,1800,B032,0,1,S133,6,0,40000,5,20,1060,49,0
1,10007,1,3,4,2255,B007,0,1,S133,2,0,20000,5,19.18,1103,57,0
1,10002,1,1,4,4000,B001,1,1,S133,2,0,10000,3,15.75,350,46,0
1,10006,1,3,4,2260,B004,1,1,S133,5,0,10000,2,19.18,1103,43,0
1,10001,1,2,4,2500,B001,1,1,S133,3,0,39000,5,19.18,1103,69,0
0,10003,1,1,4,1300,B003,0,0,S133,2,3.6,40000,4,19.18,1103,70,0
1,10019,2,1,4,3500,B002,1,1,S133,3,0,54000,5,19.18,1103,48,0
1,10045,3,1,4,8000,B008,0,1,S133,2,600,50000,5,19.18,1103,56,0
1,10006,1,2,4,3100,B002,1,1,S133,2,1000,7000,1,14.5,630,49,1
0,10004,1,3,4,700,B004,1,0,S133,3,0,40000,4,19.18,1103,44,0
1,10008,1,2,4,1950,B010,0,1,S133,3,0,44000,5,19.18,1103,41,0
0,10002,1,1,4,1455.6,B002,1,0,S133,5,0,40000,4,19.18,1103,42,0
0,10006,1,1,4,1800,B003,0,1,S133,3,0,40000,5,20,1060,60,0
1,10014,2,1,4,2000,B001,1,1,S143,3,0,29000,5,19.18,1103,38,0
1,10036,3,1,1,20000,B003,0,1,S133,2,0,30000,4,19.18,1103,47,0
1,10001,1,1,4,3200,B004,1,1,S133,3,0,49000,5,19,1271,36,0
1,10021,2,1,4,2750,B003,0,1,S133,3,0,41000,5,19.18,1103,58,0
1,10009,2,1,4,2200,B023,0,1,S122,6,0,34000,5,17.5,854,46,0
0,10001,1,3,4,1200,B016,0,0,S133,3,0,40000,4,19.18,1103,52,0
1,10002,1,3,4,2200,B011,1,1,S133,3,0,32000,5,32.5,1085,56,0
1,10007,1,1,4,3415,B036,0,1,S133,3,0,53000,5,19,1375,48,0
0,10003,1,1,4,6000,B003,0,1,S133,3,0,104000,5,19.18,1103,60,0
1,10003,1,1,4,15000,B002,1,1,S143,2,0,100000,4,19.18,1103,56,0
0,10016,2,1,4,1400,B002,1,0,S133,2,500,40000,4,19.18,1103,38,0
1,10033,3,1,4,2000,B001,1,1,S133,5,0,32000,3,20,1189,39,0
0,10017,2,3,4,6300,B001,1,0,S133,2,3700,40000,4,19.18,1103,30,1
0,10005,1,3,4,1450,B001,1,0,S133,2,0,40000,4,19.18,1103,45,0
1,10001,1,1,1,3300,B003,0,1,S133,3,0,46000,4,15.5,1292,61,0
0,10017,2,3,4,6300,B001,1,0,S133,2,3200,40000,4,19.18,1103,64,0
0,10173,3,3,4,1050,B003,0,0,S133,2,440,40000,4,19.18,1103,59,0
0,10001,1,1,1,5000,B001,1,0,S122,4,0,40000,4,19.18,1103,67,0
1,10003,1,1,4,15000,B002,1,1,S134,3,0,150000,5,16,3648,45,0
1,10002,1,3,2,3329,B006,1,1,S133,3,0,56000,5,19.18,1103,36,0
0,10001,1,2,4,1750,B006,1,0,S133,3,0,40000,4,19.18,1103,46,0
1,10004,1,1,4,2070,B001,1,1,S133,5,0,30000,5,20,795,42,0
1,10003,1,2,2,7400,B002,1,1,S143,2,550,181000,5,19.18,1103,62,0
1,10003,1,2,4,1500,B001,1,1,S122,6,0,33000,5,19.18,1103,46,0
0,10007,1,3,4,2250,B001,1,1,S159,3,0,25000,3,16.75,888,62,0
1,10002,1,1,4,2700,B002,1,1,S122,2,0,20000,2,19.18,1103,38,0
1,10045,3,1,4,4000,B003,0,1,S133,5,0,5000,1,19.18,1103,48,0
1,10002,1,1,4,2000,B003,0,1,S133,3,0,29000,5,20,768,59,0
0,10003,1,1,4,1480,B021,1,0,S133,2,0,40000,4,19.18,1103,46,0
1,10006,1,1,4,5833.3,B001,1,1,S122,7,0,40000,4,19.18,1103,65,0
1,10006,1,1,4,5833.3,B001,1,1,S122,7,0,40000,4,19.18,1103,65,0
1,10046,3,1,4,1685,B003,0,1,S133,2,400,20000,4,20,609,71,0
1,10001,1,1,4,3400,B002,1,1,S133,2,0,89000,5,19.18,1103,32,0
0,10005,1,3,4,1000,B001,1,0,S122,3,0,40000,4,19.18,1103,57,0
0,10014,2,3,4,1200,B003,0,0,S144,3,0,40000,4,19.18,1103,50,0
1,10005,1,2,4,9200,B001,1,1,S133,5,1500,100000,5,19.18,1103,63,0
0,10003,1,1,4,25000,B009,0,1,S133,3,0,150000,5,18,3809,61,0
1,10003,1,2,4,35000,B002,1,1,S133,3,0,150000,5,19.18,1103,31,0
1,10002,1,2,4,3300,B004,1,1,S122,2,0,50000,5,19,1297,55,0
1,10002,1,2,2,3500,B006,1,1,S133,6,0,59000,5,18.5,1514,57,0
0,10002,1,2,4,1370,B001,1,0,S133,3,0,40000,4,19.18,1103,35,0
0,10004,1,2,4,1199.2,B022,0,0,S133,3,0,40000,4,19.18,1103,51,0
0,10006,1,1,4,1450,B003,0,0,S133,6,0,40000,4,19.18,1103,40,0
0,10006,1,2,4,2500,B011,1,1,S133,6,0,36000,5,32.5,1221,49,0
0,10146,3,1,4,1050,B024,0,0,S133,2,750,40000,4,19.18,1103,57,0
1,10002,1,3,1,6000,B002,1,1,S143,2,568.9,50000,2,19.18,1103,70,0
0,10003,1,1,4,1500,B004,1,0,S133,3,0,40000,4,19.18,1103,42,0
1,10016,2,1,1,3500,B003,0,1,S122,3,0,54000,5,19.18,1103,42,0
1,10002,1,1,4,7800,B005,1,1,S122,2,1700,10000,1,19.18,1103,69,0
1,10004,1,3,4,2500,B005,1,1,S133,5,0,50000,5,14.5,1176,70,0
1,10004,1,3,1,2200,B002,1,1,S133,5,0,30000,3,19.18,1103,60,0
1,10001,1,1,4,2000,B004,1,1,S143,3,0,29000,5,19.18,1103,64,0
1,10002,1,1,4,2200,B001,1,1,S122,6,0,32000,5,20,848,52,0
0,10002,1,1,4,800,B006,1,0,S133,3,0,40000,4,19.18,1103,67,0
1,10006,1,1,4,1300,B001,1,1,S133,3,0,29000,5,19.18,1103,64,0
0,10005,1,1,4,1000,B003,0,0,S133,2,0,40000,4,19.18,1103,35,0
1,10006,1,1,4,3600,B002,1,1,S133,2,0,58000,5,19.18,1103,33,0
0,10002,1,1,4,2200,B002,1,0,S122,2,0,40000,4,19.18,1103,34,0
0,10004,1,2,3,3300,B005,1,1,S133,2,1200,15000,3,20,557,61,0
1,10122,3,2,4,2000,B003,0,1,S133,2,0,20000,3,19.18,1103,33,0
0,10003,1,1,4,900,B003,0,0,S133,3,0,40000,4,19.18,1103,62,0
1,10003,1,1,4,7000,B012,0,1,S133,3,0,121000,5,14.85,2869,45,0
1,10002,1,2,2,3000,B002,1,1,S133,5,0,20000,2,19.18,1103,52,0
0,10460,3,1,4,1000,B002,1,0,S122,2,0,40000,4,19.18,1103,44,0
0,10001,1,1,2,1700,B006,1,0,S122,5,0,40000,4,19.18,1103,34,0
0,10001,1,1,2,2000,B001,1,0,S133,2,800,40000,4,19.18,1103,44,0
0,10460,3,1,4,1000,B001,1,0,S122,2,0,40000,4,19.18,1103,48,0
1,10460,3,1,4,2200,B001,1,1,S122,2,0,10000,1,19.18,1103,47,0
0,10001,1,2,4,1653.2,B011,1,0,S133,2,0,40000,4,19.18,1103,55,0
1,10005,1,3,4,4700,B002,1,1,S143,2,700,50000,5,19.18,1103,35,0
1,10001,1,2,4,2400,B005,1,1,S133,2,200,20000,2,19.18,1103,35,0
1,10004,1,2,4,3000,B001,1,1,S133,2,650,28000,2,19.18,1103,34,0
1,10002,1,2,4,3100,B011,1,1,S133,2,0,30000,3,16,1055,58,0
1,10005,1,2,4,2920,B004,1,1,S133,6,0,56000,5,13.49,1288,60,0
0,10004,1,1,4,1666.7,B026,1,0,S143,2,500,40000,4,19.18,1103,44,0
0,10005,1,2,4,2200,B001,1,0,S133,2,1100,40000,4,19.18,1103,59,0
1,10005,1,2,4,1890,B003,0,1,S133,2,100,27000,3,20,1003,66,0
1,10004,1,1,4,1953.7,B003,0,1,S133,2,400,15000,2,20,763,67,0
1,10001,1,2,3,2420,B001,1,1,S133,3,0,27000,3,16.75,959,57,0
0,10006,1,3,4,3500,B002,1,1,S143,2,0,50000,5,19.18,1103,38,0
1,10004,1,1,4,2500,B024,0,1,S133,3,0,36000,5,19,934,52,0
1,10009,2,3,4,2970,B007,0,1,S133,3,0,48000,5,14.49,1129,53,1
1,10080,3,1,4,2875.8,B003,0,1,S133,2,0,50000,5,19.18,1103,54,0
1,10002,1,1,1,2500,B003,0,1,S122,3,0,36000,5,19,934,38,0
1,10006,1,1,4,2030,B004,1,1,S133,3,0,29000,5,19.18,1103,54,0
0,10002,1,1,4,1020,B001,1,0,S122,2,0,40000,4,19.18,1103,45,0
0,10003,1,1,4,2000,B002,1,0,S133,2,0,40000,4,19.18,1103,38,0
0,10001,1,1,4,2100,B001,1,0,S133,5,1550,40000,4,19.18,1103,47,0
1,10001,1,1,4,3500,B002,1,1,S137,2,600,49000,3,19.18,1103,52,0
1,10019,2,1,4,1809.9,B003,0,1,S133,3,0,40000,5,19.18,1103,68,0
0,10182,3,3,4,1000,B001,1,0,S122,2,450,40000,4,19.18,1103,36,0
1,10005,1,2,4,4400,B004,1,1,S133,5,0,20000,2,14.85,968,57,0
1,10005,1,1,4,3000,B001,1,1,S133,5,0,50000,4,19,1495,68,0
1,10063,3,1,1,2200,B003,0,1,S133,5,550,30000,5,18.25,766,40,0
0,10002,1,1,4,2200,B005,1,1,S133,3,0,32000,5,20,848,31,0
1,10048,3,3,4,9400,B003,0,1,S122,2,1000,20000,2,14.25,963,30,1
1,10022,2,1,4,1600,B023,0,1,S133,3,0,36000,5,19.18,1103,34,0
1,10006,1,2,4,2400,B001,1,1,S133,2,392.5,34000,4,20,1035,37,0
1,10003,1,2,4,2100,B006,1,1,S133,3,0,30000,5,19.18,1103,33,0
0,10012,1,1,4,1100,B033,0,0,S133,3,0,40000,4,19.18,1103,37,0
0,10010,1,2,3,5000,B001,1,0,S133,2,350,40000,4,19.18,1103,35,0
1,10005,1,2,4,2500,B004,1,1,S133,3,0,33000,4,16.5,944,46,0
1,10001,1,2,3,3200,B001,1,1,S133,3,0,47000,4,19.18,1103,45,0
0,10094,3,1,4,950,B048,1,0,S133,2,300,40000,4,19.18,1103,44,0
1,10002,1,1,4,4150,B001,1,1,S133,5,1213.3,10000,3,14.85,346,62,0
0,10002,1,2,4,1570,B016,0,0,S133,3,0,40000,4,19.18,1103,36,0
1,10209,3,3,4,9400,B001,1,1,S133,5,0,20000,1,19.18,1103,50,0
0,10001,1,1,4,1100,B003,0,0,S133,2,300,40000,4,19.18,1103,54,0
1,10007,1,3,4,2500,B004,1,1,S133,3,0,36000,5,20,954,37,0
1,10011,2,3,4,1400,B001,1,1,S133,3,0,31000,5,20,821,34,0
0,10003,1,3,4,2500,B001,1,1,S133,2,280,20000,4,19.18,1103,51,0
1,10001,1,1,4,3600,B004,1,1,S137,2,1200,25000,2,19.18,1103,60,0
0,10002,1,1,1,3000,B002,1,1,S133,2,0,30000,5,13,683,34,0
0,10001,1,3,4,1780,B003,0,0,S133,2,300,40000,4,19.18,1103,47,0
0,10006,1,2,4,4000,B001,1,0,S133,2,0,40000,4,19.18,1103,63,0
0,10006,1,3,4,24000,B001,1,1,S122,2,0,20000,3,14.85,692,47,0
1,10017,2,3,4,2400,B002,1,1,S133,3,0,38000,5,16.75,939,32,0
1,10007,1,1,4,2500,B001,1,1,S134,3,0,36000,5,32.5,1221,46,0
0,10006,1,1,4,4800,B002,1,0,S133,2,0,40000,4,19.18,1103,70,1
1,10005,1,1,4,2500,B011,1,1,S133,2,740,10000,5,16.75,247,67,0
0,10001,1,1,4,1514.7,B004,1,0,S133,3,0,40000,4,19.18,1103,30,0
1,10004,1,3,4,2670,B001,1,1,S133,3,0,40000,5,19.18,1103,35,0
0,10005,1,1,4,2100,B011,1,0,S133,2,740,40000,4,19.18,1103,36,0
0,10005,1,1,4,2000,B011,1,0,S133,2,740,40000,4,19.18,1103,59,0
1,10005,1,1,4,2100,B011,1,1,S133,2,740,10000,2,20,509,42,0
1,10003,1,1,4,2200,B004,1,1,S133,3,0,32000,5,24,921,51,0
0,10016,2,1,4,1290,B003,0,0,S133,5,350,40000,4,19.18,1103,34,0
1,10006,1,1,4,5833.3,B001,1,1,S122,7,0,40000,4,19.18,1103,36,0
0,10001,1,3,4,1050,B017,0,0,S133,3,0,40000,4,19.18,1103,67,0
1,10263,3,3,4,1420,B001,1,1,S133,2,14.5,10000,5,20,265,33,0
0,10007,1,3,4,1200,B036,0,0,S133,3,0,40000,4,19.18,1103,69,0
1,10002,1,2,4,9250,B005,1,1,S133,2,2400,30000,3,19.18,1103,50,0
1,10003,1,3,4,5600,B001,1,1,S133,3,0,97000,5,12.99,2207,38,0
1,10001,1,1,4,1900.3,B023,0,1,S133,3,0,43000,5,20,1139,34,0
1,10024,1,1,4,6000,B020,0,1,S122,6,0,104000,5,19.18,1103,56,0
0,10001,1,1,1,5050,B002,1,0,S137,2,3750,40000,4,19.18,1103,51,0
1,10020,1,1,4,3000,B005,1,1,S133,3,0,45000,5,19,1167,42,0
1,10004,1,3,4,5000,B002,1,1,S133,2,507.9,50000,5,19.18,1103,63,0
1,10005,1,3,4,2750,B001,1,1,S143,3,0,54000,5,19.18,1103,50,0
0,10003,1,2,4,5250,B002,1,1,S137,2,0,20000,2,14.85,968,51,0
1,10002,1,2,4,2100,B004,1,1,S133,2,0,10000,2,18.5,502,67,0
1,10001,1,3,4,3100,B004,1,1,S133,2,750,30000,4,17,866,44,1
0,10001,1,3,1,5250,B002,1,1,S137,2,0,10000,1,14.85,902,53,0
1,10004,1,1,4,7050,B002,1,1,S137,2,0,20000,2,14.85,968,68,0
0,10001,1,3,3,1686.2,B002,1,0,S133,3,0,40000,4,19.18,1103,60,0
1,10005,1,3,4,2000,B002,1,1,S133,3,0,29000,5,16.75,717,47,0
1,10010,1,2,4,9000,B004,1,1,S133,2,0,120000,2,19.18,1103,54,0
1,10030,2,1,4,2000,B001,1,1,S133,2,300,10000,3,19.18,1103,55,0
1,10001,1,2,4,20000,B001,1,1,S133,2,550,20000,5,19.18,1103,37,0
0,10005,1,1,4,3000,B003,0,0,S133,5,1000,40000,4,19.18,1103,31,0
1,10001,1,2,4,3600,B001,1,1,S137,2,1000,30000,4,20,913,53,0
1,10009,2,2,4,5600,B004,1,1,S133,5,750.2,6000,2,19.18,1103,66,1
0,10004,1,1,4,9050,B026,1,0,S122,2,5250,40000,4,19.18,1103,40,1
0,10004,1,2,1,9300,B026,1,0,S122,2,5850,40000,4,19.18,1103,52,0
0,10006,1,2,4,1799,B004,1,0,S133,2,0,40000,4,19.18,1103,46,0
0,10006,1,3,4,1200,B013,0,0,S133,3,0,40000,4,19.18,1103,47,0
0,10003,1,1,1,5000,B002,1,1,S137,2,100,10000,2,19.18,1103,66,0
0,10005,1,2,4,900,B006,1,0,S133,2,0,40000,4,19.18,1103,61,0
1,10004,1,1,4,1900,B010,0,1,S133,2,600,10000,2,20,509,32,0
0,10004,1,1,4,9400,B003,0,0,S133,2,6500,40000,4,19.18,1103,34,0
0,10001,1,1,4,1000,B001,1,0,S133,2,450,40000,4,19.18,1103,47,0
1,10377,3,1,4,2500,B001,1,1,S133,5,0,10000,2,20,509,30,0
1,10001,1,3,4,5555.4,B001,1,1,S122,4,0,40000,4,19.18,1103,57,0
1,10003,1,2,4,2300,B001,1,1,S133,2,220,30000,5,18.25,766,33,0
1,10006,1,2,4,4200,B004,1,1,S133,3,0,69000,5,19.18,1103,57,0
1,10008,1,1,4,3000,B003,0,1,S133,2,600,50000,5,19.18,1103,30,0
1,10001,1,1,4,5400,B014,1,1,S133,6,0,93000,5,14.85,2205,41,0
1,10006,1,3,4,2500,B003,0,1,S133,2,219.9,21000,3,15.5,733,43,0
1,10014,2,1,4,2500,B004,1,1,S134,2,700,30000,5,19.18,1103,49,0
0,10116,3,3,4,750,B004,1,0,S133,2,200,40000,4,19.18,1103,35,0
1,10006,1,1,4,3000,B004,1,1,S137,2,500,30000,2,19.18,1103,52,0
1,10020,1,1,4,2160,B016,0,1,S133,3,0,31000,5,18.5,796,46,0
0,10001,1,3,4,2000,B001,1,0,S133,2,0,40000,4,19.18,1103,59,0
0,10001,1,1,3,6200,B001,1,0,S133,2,2459,40000,4,19.18,1103,42,0
0,10009,2,1,4,900,B003,0,0,S122,6,0,40000,4,19.18,1103,61,0
1,10002,1,1,4,2000,B001,1,1,S133,3,0,29000,5,19.18,1103,41,0
1,10006,1,3,4,3100,B011,1,1,S133,3,0,46000,4,14.25,1263,69,0
1,10002,1,2,4,4600,B002,1,1,S133,2,1200,20000,5,19.18,1103,32,0
0,10003,1,1,4,940,B006,1,0,S133,2,300,40000,4,19.18,1103,58,0
1,10003,1,1,4,3650,B003,0,1,S133,2,1450,40000,5,20,1060,55,0
1,10008,1,1,4,1500,B001,1,1,S133,3,0,35000,5,18.5,898,59,0
1,10018,3,1,4,4500,B003,0,1,S133,5,1000,30000,3,19.18,1103,36,0
0,10331,3,1,4,800,B003,0,0,S159,2,0,40000,4,19.18,1103,57,0
1,10080,3,1,4,3000,B003,0,1,S133,5,0,50000,5,19.18,1103,68,0
0,10006,1,3,4,4500,B004,1,1,S133,2,800,50000,4,19.18,1103,52,0
1,10018,3,2,2,3500,B001,1,1,S133,2,0,15000,1,19.18,1103,35,0
1,10008,1,1,4,2400,B006,1,1,S122,5,0,15000,1,19.18,1103,66,0
1,10605,3,1,4,5092.6,B010,0,1,S133,5,1019.6,30000,4,19.18,1103,65,0
0,10006,1,3,4,4400,B002,1,0,S122,2,1800,40000,4,19.18,1103,44,0
0,10003,1,2,4,800,B031,0,0,S133,2,350,40000,4,19.18,1103,56,0
1,10003,1,2,3,2200,B001,1,1,S133,2,0,20000,4,19.18,1103,41,0
1,10007,1,1,4,3203,B003,0,1,S133,3,0,49000,5,19.18,1103,62,0
1,10001,1,2,4,8500,B001,1,1,S122,2,2650,20000,5,19.18,1103,69,0
1,10116,3,1,4,2100,B010,0,1,S133,2,500,20000,4,20,609,42,0
1,10006,1,1,4,2500,B003,0,1,S143,3,0,36000,5,19.18,1103,44,0
1,10058,3,1,4,1700,B019,0,1,S133,2,500,19000,5,20,503,33,0
1,10006,1,2,2,5500,B004,1,1,S133,2,0,50000,5,12.99,1137,57,0
0,10003,1,2,4,1500,B004,1,0,S133,3,0,40000,4,19.18,1103,41,0
0,10008,1,3,4,900,B001,1,0,S133,5,0,40000,4,19.18,1103,67,0
0,10605,3,1,4,5000,B010,0,0,S122,2,1060,40000,4,19.18,1103,38,0
1,10002,1,2,4,5150,B004,1,1,S122,5,0,100000,5,16.25,2445,52,0
1,10002,1,3,4,4700,B001,1,1,S133,5,0,40000,2,14,1921,65,0
0,10005,1,3,4,935,B017,0,0,S133,2,0,40000,4,19.18,1103,37,0
1,10004,1,2,4,30000,B002,1,1,S133,2,0,50000,5,14.85,1186,71,0
1,10130,3,1,4,4500,B007,0,1,S133,2,730,91000,5,19.18,1103,41,0
1,10009,2,1,4,2700,B027,0,1,S143,2,0,50000,5,19.18,1103,67,0
1,10005,1,2,4,4250,B004,1,1,S133,2,576.2,20000,4,19.18,1103,61,0
0,10003,1,1,4,1350,B014,1,0,S133,2,500,40000,4,19.18,1103,41,0
1,10007,1,1,4,2300,B003,0,1,S133,6,0,33000,5,19.18,1103,61,0
1,10002,1,2,4,2900,B003,0,1,S133,3,0,43000,5,19,1115,64,0
0,10299,3,1,1,3500,B003,0,0,S133,2,0,40000,4,19.18,1103,65,0
0,10021,2,1,4,3600,B002,1,0,S122,2,527.4,40000,4,19.18,1103,32,0
1,10005,1,2,4,5100,B004,1,1,S133,3,0,65000,3,14.85,2248,51,0
1,10001,1,1,4,3500,B004,1,1,S133,5,1000,54000,5,19.18,1103,40,0
0,10002,1,3,4,4900,B001,1,0,S134,2,2300,40000,4,19.18,1103,52,0
0,10001,1,3,4,5000,B001,1,0,S122,4,0,40000,4,19.18,1103,54,0
1,10083,3,2,4,2800,B003,0,1,S133,5,0,12000,3,19.18,1103,44,0
0,10007,1,3,4,1000,B004,1,0,S133,3,0,40000,4,19.18,1103,34,0
0,10001,1,1,4,7000,B001,1,0,S133,2,4000,40000,4,19.18,1103,70,0
0,10006,1,2,4,7600,B001,1,0,S133,2,3700,40000,4,19.18,1103,51,0
1,10003,1,2,2,2000,B001,1,1,S133,2,0,30000,5,19.18,1103,36,0
1,10010,1,3,1,3850,B014,1,1,S122,2,1025.2,10000,1,13,893,67,0
0,10415,3,1,4,1350,B004,1,0,S122,2,398.1,40000,4,19.18,1103,32,0
0,10003,1,2,4,1200,B013,0,0,S133,2,250,40000,4,19.18,1103,43,0
1,10053,2,1,4,2850,B004,1,1,S133,2,1000,37000,5,19.18,1103,41,0
0,10006,1,1,4,6000,B002,1,0,S133,5,3000,40000,4,19.18,1103,63,0
1,10006,1,1,4,3650,B004,1,1,S133,2,350,30000,4,14.85,833,69,0
0,10004,1,3,4,4950,B001,1,0,S143,2,0,40000,4,19.18,1103,55,0
1,10003,1,1,4,5000,B001,1,1,S133,5,250,41000,2,14.85,1985,69,0
1,10066,3,3,4,3900,B002,1,1,S133,2,500,20000,3,20,743,64,0
1,10106,3,1,4,2950,B003,0,1,S133,2,0,30000,5,19.18,1103,40,0
1,10263,3,1,4,7750.2,B032,0,1,S133,2,1151.1,70000,5,18,1778,51,0
1,10001,1,3,4,5000,B001,1,1,S122,4,0,40000,4,19.18,1103,63,0
1,10006,1,3,4,5000,B001,1,1,S133,5,1100,10000,2,19.18,1103,66,0
1,10499,3,3,4,1500,B003,0,1,S133,2,0,20000,3,19.18,1103,48,0
1,10001,1,1,4,3900,B003,0,1,S133,2,0,50000,5,19.18,1103,52,0
1,10003,1,3,4,4560,B010,0,1,S133,5,400,50000,5,19.18,1103,59,0
0,10027,1,1,4,5000,B017,0,1,S122,2,1600,10000,2,19.18,1103,31,0
1,10001,1,2,4,5000,B001,1,1,S122,4,0,40000,4,19.18,1103,55,0
0,10010,1,2,3,6000,B001,1,0,S122,4,0,40000,4,19.18,1103,69,0
0,10020,1,2,4,2830,B002,1,1,S133,3,0,42000,5,19,1090,53,0
1,10044,3,1,4,1500,B001,1,1,S133,2,0,20000,5,20,530,46,0
1,10001,1,2,4,5000,B001,1,1,S122,2,0,82000,5,19.18,1103,51,0
1,10007,1,1,4,3000,B013,0,1,S133,3,0,45000,5,19.18,1103,59,0
0,10018,3,1,4,1400,B002,1,0,S133,2,0,40000,4,19.18,1103,52,0
1,10015,3,3,4,1500,B003,0,1,S159,3,0,35000,5,18.5,898,46,0
0,10005,1,3,4,1200,B003,0,0,S133,6,0,40000,4,19.18,1103,69,0
1,10006,1,2,2,1700,B001,1,1,S133,2,0,10000,5,19.18,1103,56,0
0,10001,1,2,4,1250,B002,1,0,S133,5,500,40000,4,19.18,1103,59,0
0,10001,1,1,4,8000,B001,1,0,S122,2,0,40000,4,19.18,1103,47,0
1,10042,3,3,4,3200,B003,0,1,S122,2,0,30000,5,19,778,48,0
1,10053,2,1,4,2200,B001,1,1,S133,2,0,10000,5,19.18,1103,42,0
0,10034,3,1,4,4200,B009,0,0,S122,2,2100,40000,4,19.18,1103,65,0
0,10494,3,1,4,1200,B004,1,0,S133,2,500,40000,4,19.18,1103,59,0
1,10006,1,2,4,6000,B006,1,1,S143,3,0,104000,5,14.85,2466,51,0
1,10001,1,1,4,2200,B001,1,1,S133,5,0,16000,3,16.75,568,62,0
0,10054,3,2,4,1500,B002,1,0,S133,2,0,40000,4,19.18,1103,66,0
0,10002,1,3,4,1210.2,B001,1,0,S133,3,0,40000,4,19.18,1103,53,0
1,10189,3,1,4,4000,B001,1,1,S133,2,600,30000,2,20,1527,64,0
1,10006,1,2,4,2840,B001,1,1,S133,6,0,43000,5,20,1139,35,0
1,10017,2,3,4,2800,B004,1,1,S133,5,300,50000,5,15.5,1203,31,0
1,10220,3,1,4,3500,B003,0,1,S133,2,0,10000,3,19.18,1103,67,0
0,10003,1,3,3,1522.2,B002,1,0,S133,3,0,40000,4,19.18,1103,37,0
1,10009,2,1,4,1600,B010,0,1,S133,3,0,36000,5,20,954,58,0
0,10005,1,1,4,1500,B017,0,0,S133,2,500,40000,4,19.18,1103,70,0
1,10005,1,1,4,2200,B017,0,1,S133,2,500,22000,3,19.18,1103,42,0
1,10011,2,1,4,1700,B004,1,1,S133,2,220,10000,3,19.18,1103,32,0
1,10014,2,1,4,1600,B001,1,1,S133,2,400,21000,5,20,556,32,0
1,10013,2,1,1,3800,B002,1,1,S122,2,0,100000,5,13,2275,70,0
0,10006,1,2,4,1820,B006,1,0,S133,2,0,40000,4,19.18,1103,51,0
0,10005,1,1,4,1100,B047,1,0,S133,3,0,40000,4,19.18,1103,57,0
0,10001,1,2,4,3536.5,B001,1,0,S122,2,0,40000,4,19.18,1103,46,0
1,10006,1,3,4,2300,B007,0,1,S133,2,0,20000,2,16.75,986,33,0
1,10010,1,3,4,2170,B001,1,1,S159,3,0,32000,5,19.18,1103,66,0
0,10005,1,1,4,2500,B003,0,0,S133,2,0,40000,4,19.18,1103,51,0
1,10009,2,1,1,30000,B008,0,1,S133,3,0,120000,5,19.18,1103,66,0
1,10003,1,1,4,3500,B017,0,1,S133,2,700,10000,1,19.18,1103,63,0
1,10162,3,1,4,2500,B013,0,1,S143,2,0,50000,5,19.18,1103,36,0
0,10021,2,1,4,1201.9,B003,0,0,S133,3,0,40000,4,19.18,1103,69,0
1,10006,1,1,4,2500,B002,1,1,S122,5,0,10000,1,19,922,65,0
1,10002,1,2,4,5500,B002,1,1,S134,2,0,20000,2,14.85,968,35,0
0,10003,1,1,4,2300,B001,1,0,S133,2,1300,40000,4,19.18,1103,35,0
1,10005,1,3,4,3309,B004,1,1,S133,5,0,98000,5,19.18,1103,30,0
1,10001,1,1,4,3300,B004,1,1,S133,2,0,50000,3,19.18,1103,43,0
0,10008,1,1,4,1650,B002,1,1,S133,6,0,37000,5,20,980,52,0
1,10009,2,1,4,2400,B020,0,1,S127,2,400,20000,5,19.18,1103,35,0
1,10006,1,1,4,2700,B017,0,1,S143,2,0,30000,3,19.18,1103,47,0
